team,close_games,wins,win_pct
"Boston Celtics",891,550,61.7
"Los Angeles Lakers",698,407,58.3
"Chicago Bulls",648,374,57.7
"Portland Trail Blazers",624,359,57.5
"Miami Heat",441,252,57.1
"San Antonio Spurs",265,151,57.0
"Utah Jazz",291,166,57.0
"New York Knicks",940,529,56.3
"Atlanta Hawks",682,380,55.7
"Memphis Grizzlies",255,140,54.9
"Denver Nuggets",574,314,54.7
"Detroit Pistons",738,403,54.6
"Brooklyn Nets",130,71,54.6
"Dallas Mavericks",524,284,54.2
"Washington Bullets",307,166,54.1
"Cleveland Cavaliers",608,328,53.9
"New Orleans Pelicans",127,68,53.5
"Orlando Magic",377,200,53.1
"Houston Rockets",624,331,53.0
"Milwaukee Bucks",638,337,52.8
"Indiana Pacers",594,311,52.4
"Phoenix Suns",576,301,52.3
"Sacramento Kings",472,246,52.1
"Los Angeles Clippers",388,196,50.5
"Philadelphia 76ers",335,169,50.4
"Washington Wizards",311,154,49.5
"Charlotte Hornets",109,54,49.5
"Minnesota Timberwolves",385,190,49.4
"Golden State Warriors",297,146,49.2
"Toronto Raptors",368,180,48.9
"Oklahoma City Thunder",179,86,48.0
"Charlotte Bobcats",122,56,45.9
