team_name,total_picks,pct_picks_who_played,avg_seasons,top75_players,avg_pick_used,late_round_gems
Kings,61,100.0,7.5,0,24.7,12
Raptors,29,100.0,7.4,0,21.1,2
Clippers,45,100.0,7.3,0,24.9,1
Rockets,76,100.0,7,0,30.2,20
Jazz,45,100.0,7,0,29.0,5
Bobcats,15,93.3,7,0,21.6,0
Bucks,82,100.0,6.9,3,35.2,25
Magic,44,100.0,6.9,1,22.0,4
Spurs,33,100.0,6.9,1,31.3,4
Mavericks,65,100.0,6.8,0,28.1,8
Heat,40,97.5,6.7,1,29.3,7
Bullets,39,100.0,6.7,0,28.5,6
Pistons,121,100.0,6.6,3,32.4,18
Wizards,33,100.0,6.6,0,25.1,9
Lakers,93,100.0,6.4,2,33.4,18
Timberwolves,47,100.0,6.4,1,25.3,8
Bulls,112,100.0,6.2,1,31.3,18
Cavaliers,77,100.0,6.2,0,31.1,14
Suns,103,100.0,6.1,1,41.9,18
Nuggets,57,100.0,6.1,0,33.2,9
Pacers,60,100.0,6.1,1,35.7,6
Warriors,37,97.3,6.1,1,28.6,4
Grizzlies,28,100.0,6.1,0,27.6,3
"Trail Blazers",100,100.0,5.9,2,32.6,16
76ers,49,100.0,5.9,0,29.2,5
Hawks,95,100.0,5.5,1,35.5,14
Celtics,121,100.0,5.4,5,28.7,7
Knicks,130,100.0,5.1,3,28.3,14
Nets,11,100.0,4.5,0,34.1,2
Thunder,26,96.2,4.4,2,27.7,0
Hornets,17,100.0,4.1,0,27.1,1
Capitols,11,100.0,3.1,1,1.2,0
Pelicans,13,92.3,3,0,33.7,1
