team,season_year,home_win_pct,rank_that_season
"Denver Nuggets",2022,83.3,1
"Memphis Grizzlies",2022,82.6,2
"Golden State Warriors",2022,76.5,3
"Cleveland Cavaliers",2022,71.7,4
"Philadelphia 76ers",2022,70.8,5
"Boston Celtics",2022,70.4,6
"Milwaukee Bucks",2022,70.2,7
"New Orleans Pelicans",2022,67.4,8
"Toronto Raptors",2022,65.9,9
"Phoenix Suns",2022,65.3,10
"Miami Heat",2022,64.8,11
"New York Knicks",2022,61.2,12
"Oklahoma City Thunder",2022,59.1,13
"Atlanta Hawks",2022,57.8,14
"Sacramento Kings",2022,57.4,15
"Dallas Mavericks",2022,54.8,16
"Los Angeles Lakers",2022,54.7,17
"Chicago Bulls",2022,54.5,18
"Utah Jazz",2022,53.5,19
"LA Clippers",2022,53.2,20
"Minnesota Timberwolves",2022,52.3,21
"Orlando Magic",2022,51.2,22
"Brooklyn Nets",2022,51.1,23
"Indiana Pacers",2022,48.8,24
"Washington Wizards",2022,45.2,25
"Portland Trail Blazers",2022,41.9,26
"Houston Rockets",2022,37.2,27
"San Antonio Spurs",2022,31.8,28
"Charlotte Hornets",2022,29.5,29
"Detroit Pistons",2022,20.9,30
"Golden State Warriors",2021,80.4,1
"Phoenix Suns",2021,78.0,2
"Dallas Mavericks",2021,72.5,3
"Miami Heat",2021,72.2,4
"Memphis Grizzlies",2021,72.0,5
"Utah Jazz",2021,69.6,6
"Boston Celtics",2021,65.5,7
"Chicago Bulls",2021,65.2,8
"Atlanta Hawks",2021,64.4,9
"Milwaukee Bucks",2021,63.3,10
"Minnesota Timberwolves",2021,62.2,11
"Philadelphia 76ers",2021,61.2,12
"LA Clippers",2021,59.1,13
"Toronto Raptors",2021,58.7,14
"Cleveland Cavaliers",2021,58.1,15
"Denver Nuggets",2021,54.5,16
"Charlotte Hornets",2021,51.2,17
"Brooklyn Nets",2021,48.9,18
"Washington Wizards",2021,48.8,19
"Los Angeles Lakers",2021,47.7,20
"New Orleans Pelicans",2021,46.7,21
"New York Knicks",2021,45.5,22
"Sacramento Kings",2021,41.9,23
"San Antonio Spurs",2021,40.9,24
"Portland Trail Blazers",2021,39.5,25
"Indiana Pacers",2021,39.5,25
"Detroit Pistons",2021,34.9,27
"Orlando Magic",2021,30.2,28
