team,avg_3pt_attempts,avg_3pt_pct,win_pct,shooting_style,three_pt_rank,win_rank
"Charlotte Hornets",30.9,0.351,50.8,"Medium Volume (25-34)",1,29
"LA Clippers",30.2,0.379,65.1,"Medium Volume (25-34)",2,5
"Brooklyn Nets",30.1,0.358,50.8,"Medium Volume (25-34)",3,29
"New Orleans Pelicans",27.4,0.361,53.5,"Medium Volume (25-34)",4,26
"Oklahoma City Thunder",25.2,0.354,61.8,"Medium Volume (25-34)",5,14
"Golden State Warriors",23.6,0.359,58.5,"Low Volume (<25)",6,19
"Houston Rockets",21.9,0.338,65.1,"Low Volume (<25)",7,5
"Toronto Raptors",21.4,0.362,56.1,"Low Volume (<25)",8,23
"Memphis Grizzlies",20.7,0.349,58.4,"Low Volume (<25)",9,20
"San Antonio Spurs",19.9,0.378,72.6,"Low Volume (<25)",10,1
"Orlando Magic",19.8,0.351,57.7,"Low Volume (<25)",11,21
"Dallas Mavericks",19.3,0.355,60.3,"Low Volume (<25)",12,17
"Washington Wizards",19.3,0.352,52.2,"Low Volume (<25)",12,27
"Utah Jazz",19.2,0.364,68.8,"Low Volume (<25)",14,2
"Philadelphia 76ers",18.9,0.338,54.8,"Low Volume (<25)",15,24
"Miami Heat",18.6,0.351,61.3,"Low Volume (<25)",16,15
"Boston Celtics",18.2,0.346,64.8,"Low Volume (<25)",17,8
"Phoenix Suns",17.8,0.356,65.1,"Low Volume (<25)",18,5
"Portland Trail Blazers",17.8,0.356,66.9,"Low Volume (<25)",18,4
"Los Angeles Lakers",17.8,0.341,67.5,"Low Volume (<25)",18,3
"New York Knicks",17.6,0.349,56.2,"Low Volume (<25)",21,22
"Atlanta Hawks",17.4,0.343,62.1,"Low Volume (<25)",22,13
"Denver Nuggets",17.4,0.341,62.8,"Low Volume (<25)",22,10
"Milwaukee Bucks",17.3,0.356,60.0,"Low Volume (<25)",24,18
"Sacramento Kings",17.1,0.356,54.0,"Low Volume (<25)",25,25
"Cleveland Cavaliers",16.8,0.362,62.3,"Low Volume (<25)",26,11
"Indiana Pacers",16.8,0.355,63.9,"Low Volume (<25)",26,9
"Detroit Pistons",16.4,0.341,61.1,"Low Volume (<25)",28,16
"Minnesota Timberwolves",16.3,0.334,48.6,"Low Volume (<25)",29,33
"Chicago Bulls",15.5,0.347,62.3,"Low Volume (<25)",30,11
"Charlotte Bobcats",15.2,0.351,48.8,"Low Volume (<25)",31,32
"Los Angeles Clippers",12,0.311,49.3,"Low Volume (<25)",32,31
"Washington Bullets",6.7,0.273,51.9,"Low Volume (<25)",33,28
