team,avg_tov,home_win_pct,games,tov_rank,win_rank
"Charlotte Hornets",13.1,50.8,354,1,29
"Dallas Mavericks",13.7,60.3,1490,2,17
"Toronto Raptors",13.7,56.1,1073,2,22
"San Antonio Spurs",13.8,72.6,1030,4,1
"New Orleans Pelicans",14,53.5,400,5,26
"LA Clippers",14.1,65.1,318,6,5
"Minnesota Timberwolves",14.1,48.6,1315,6,33
"Charlotte Bobcats",14.2,48.8,361,8,32
"Detroit Pistons",14.2,61.1,1492,8,16
"Memphis Grizzlies",14.2,58.4,844,8,20
"Cleveland Cavaliers",14.5,62.3,1496,11,11
"Chicago Bulls",14.5,62.3,1499,11,11
"Washington Wizards",14.5,52.2,991,11,27
"Los Angeles Lakers",14.6,67.5,1484,14,3
"Milwaukee Bucks",14.6,60.0,1498,14,18
"Indiana Pacers",14.7,63.9,1497,16,9
"Denver Nuggets",14.7,62.9,1489,16,10
"Atlanta Hawks",14.7,62.1,1492,16,13
"Miami Heat",14.7,61.3,1360,16,15
"Portland Trail Blazers",14.7,67.0,1487,16,4
"Boston Celtics",14.8,65.0,1502,21,8
"Phoenix Suns",14.9,65.1,1491,22,5
"Oklahoma City Thunder",14.9,61.8,557,22,14
"Utah Jazz",14.9,68.8,1031,22,2
"Brooklyn Nets",14.9,50.8,400,22,29
"Philadelphia 76ers",15,54.8,1031,26,24
"Orlando Magic",15,57.7,1318,26,21
"Sacramento Kings",15.1,54.0,1482,28,25
"Golden State Warriors",15.1,58.5,1030,28,19
"New York Knicks",15.2,56.1,1491,30,22
"Houston Rockets",15.3,65.1,1488,31,5
"Washington Bullets",15.7,52.0,504,32,28
"Los Angeles Clippers",15.8,49.3,1165,33,31
